,Session1,clustlabel,colour
P001,-10.020195007324219,1.0,C2
P002,-19.906465683804182,1.0,C2
P003,-15.582426947516364,1.0,C2
P004,-13.918027877807617,0.0,C1
P005,-19.153968107353137,1.0,C2
P006,-17.62736436011086,0.0,C1
P007,-10.917497640497544,1.0,C2
P008,-13.624171708759508,1.0,C2
P009,-15.369805328881563,1.0,C2
P010,-15.63540612326728,1.0,C2
P011,-18.554727896665916,1.0,C2
P012,-10.469671951640736,0.0,C1
P013,-8.085410881042481,0.0,C1
P014,-14.05957561380723,1.0,C2
P015,-10.271827125549317,0.0,C1
P016,-15.426422324237725,1.0,C2
P017,-15.034080678766424,1.0,C2
P018,-14.967539310455322,0.0,C1
P019,-2.0754122264741914,0.0,C1
P020,-12.720748810541062,0.0,C1
P021,-11.248249332110086,0.0,C1
P022,-11.23986460945823,0.0,C1
P023,-14.266190083227425,0.0,C1
P024,-22.415597438812256,1.0,C2
P025,-11.367402177858184,0.0,C1
P026,-13.001661777496338,1.0,C2
P027,-11.225256008106273,0.0,C1
P028,-11.14042407958234,0.0,C1
P029,-14.796393348111046,1.0,C2
P030,-11.657798666260842,1.0,C2
P031,-8.553635324750628,1.0,C2
P032,-9.06368081719175,0.0,C1
P033,-17.904109001159668,1.0,C2
P034,-17.114089385322902,0.0,C1
P035,-15.157437688654118,0.0,C1
P036,-17.832961485936092,0.0,C1
P037,-14.079604532407677,1.0,C2
P038,-18.85282574201885,1.0,C2
P039,-12.065352439880371,0.0,C1
P041,-17.566672179278207,1.0,C2
P042,-13.708522324085235,0.0,C1
P043,-5.72759242105484,0.0,C1
P044,-19.899259972572327,1.0,C2
P045,-7.4203166308403015,0.0,C1
P046,-9.790644388341825,0.0,C1
P047,-7.916985939186897,0.0,C1
P048,-21.034811694046546,0.0,C1
P049,-14.671883323669434,0.0,C1
P050,-13.110369729995728,0.0,C1
P052,-7.279818793633921,0.0,C1
P053,-12.58592770316384,0.0,C1
P054,-10.645319607734681,0.0,C1
P056,-23.10936173313785,1.0,C2
P058,-7.694177588939667,0.0,C1
P059,-14.904711785793305,0.0,C1
P060,-10.684739842414857,0.0,C1
P061,-9.02815419626236,1.0,C2
P062,-11.375563558101653,1.0,C2
P063,-4.716931278811752,0.0,C1
P064,-4.558052859808269,0.0,C1
P065,-9.508939276695251,0.0,C1
P070,-14.851059571266175,1.0,C2
P071,-2.6362642203569413,0.0,C1
P072,-16.857379846572876,1.0,C2
P073,-18.133451967626005,0.0,C1
P074,-19.022680921554567,1.0,C2
P075,-14.712013062953949,0.0,C1
P077,-9.687975665092468,0.0,C1
P078,-16.709239379882813,1.0,C2
P079,-15.666580620765686,0.0,C1
P080,-14.449813666343688,1.0,C2
P081,-17.269059789657593,1.0,C2
P084,-14.527401468753816,0.0,C1
P085,-16.69592481613159,1.0,C2
P086,-15.810854525566102,1.0,C2
P089,-11.646141857624054,0.0,C1
P090,-13.460293560028076,0.0,C1
P091,-15.269700149536133,1.0,C2
P092,-17.68550177669525,0.0,C1
P094,-8.12852545785904,0.0,C1
P095,-11.14530299518602,0.0,C1
P098,-20.182864965438842,1.0,C2
P099,-16.589797347068785,0.0,C1
P100,-11.896381681919097,0.0,C1
