ptcode,colourcode,clustlabel
P001,C1,0
P002,C1,0
P003,C1,0
P004,C2,1
P005,C1,0
P006,C2,1
P007,C1,0
P008,C1,0
P009,C1,0
P010,C1,0
P011,C1,0
P012,C2,1
P013,C2,1
P014,C1,0
P015,C2,1
P016,C1,0
P017,C1,0
P018,C2,1
P019,C2,1
P020,C2,1
P021,C2,1
P022,C2,1
P023,C2,1
P024,C1,0
P025,C2,1
P026,C1,0
P027,C2,1
P028,C2,1
P029,C1,0
P030,C1,0
P031,C1,0
P032,C2,1
P033,C1,0
P034,C2,1
P035,C2,1
P036,C2,1
P037,C1,0
P038,C1,0
P039,C2,1
P041,C1,0
P042,C2,1
P043,C2,1
P044,C1,0
P045,C2,1
P046,C2,1
P047,C2,1
P048,C2,1
P049,C2,1
P050,C2,1
P052,C2,1
P053,C2,1
P054,C2,1
P056,C1,0
P058,C2,1
P059,C2,1
P060,C2,1
P061,C1,0
P062,C1,0
P063,C2,1
P064,C2,1
P065,C2,1
P070,C1,0
P071,C2,1
P072,C1,0
P073,C2,1
P074,C1,0
P075,C2,1
P077,C2,1
P078,C1,0
P079,C2,1
P080,C1,0
P081,C1,0
P084,C2,1
P085,C1,0
P086,C1,0
P089,C2,1
P090,C2,1
P091,C1,0
P092,C2,1
P094,C2,1
P095,C2,1
P098,C1,0
P099,C2,1
P100,C2,1
